                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5076,                 4.2083,                 1.8742,                0.00305,                0.89053,                0.06947,                0.03848,                 1.3702,                 4.6176,                 1.5755,             0.00021856,             0.00021856,             0.00021856
                      2,                 1.4536,                 3.3794,                 1.7921,                0.46912,                0.32531,                0.34584,                0.17324,                 1.5074,                 3.5529,                 1.6162,             0.00039725,             0.00039725,             0.00039725
                      3,                 1.4403,                  2.877,                 1.7384,                0.33874,                0.49652,                0.41289,                0.19203,                 1.6741,                  3.043,                 1.7242,             0.00053191,             0.00053191,             0.00053191
                      4,                 1.4329,                 2.5568,                 1.6828,                0.45615,                0.59699,                0.56028,                0.27242,                 1.6772,                 2.7669,                 1.7066,              0.0004689,              0.0004689,              0.0004689
                      5,                 1.3445,                 2.3047,                 1.6333,                0.60946,                0.70224,                0.72041,                0.36288,                 1.6165,                 2.5984,                 1.6799,             0.00040287,             0.00040287,             0.00040287
                      6,                 1.3126,                 2.0792,                  1.584,                0.64757,                0.72855,                0.71975,                0.39066,                 1.5966,                 2.2595,                 1.6466,             0.00033683,             0.00033683,             0.00033683
                      7,                 1.2691,                 1.8473,                 1.5128,                0.65254,                0.78267,                0.80325,                0.44405,                 1.5603,                 2.1575,                 1.5978,              0.0002708,              0.0002708,              0.0002708
                      8,                 1.2023,                 1.6898,                 1.4658,                0.79535,                0.79752,                0.83914,                0.45971,                 1.5676,                 1.9788,                 1.5747,             0.00020477,             0.00020477,             0.00020477
                      9,                  1.156,                  1.561,                 1.4271,                0.77543,                 0.7873,                0.82084,                0.44887,                 1.5575,                  1.888,                 1.5975,             0.00013874,             0.00013874,             0.00013874
                     10,                 1.1118,                  1.482,                  1.388,                0.77359,                0.83142,                0.82152,                0.45259,                 1.5444,                    1.8,                 1.5732,             7.2703e-05,             7.2703e-05,             7.2703e-05
